Region Name,City,State,Metro,County Name,Month,Value
South End,Tacoma,WA,Seattle,Pierce,02/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,03/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,04/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,05/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,06/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,07/01/2010 12:00:00 AM,
South End,Tacoma,WA,Seattle,Pierce,08/01/2010 12:00:00 AM,0.952631578947368
South End,Tacoma,WA,Seattle,Pierce,09/01/2010 12:00:00 AM,0.952631578947368
South End,Tacoma,WA,Seattle,Pierce,10/01/2010 12:00:00 AM,0.952631578947368
South End,Tacoma,WA,Seattle,Pierce,11/01/2010 12:00:00 AM,0.952631578947368
South End,Tacoma,WA,Seattle,Pierce,12/01/2010 12:00:00 AM,0.958823529411764
South End,Tacoma,WA,Seattle,Pierce,01/01/2011 12:00:00 AM,0.952173913043478
South End,Tacoma,WA,Seattle,Pierce,02/01/2011 12:00:00 AM,0.952631578947368
South End,Tacoma,WA,Seattle,Pierce,03/01/2011 12:00:00 AM,0.961538461538461
South End,Tacoma,WA,Seattle,Pierce,04/01/2011 12:00:00 AM,0.887345679012345
South End,Tacoma,WA,Seattle,Pierce,05/01/2011 12:00:00 AM,0.9
South End,Tacoma,WA,Seattle,Pierce,06/01/2011 12:00:00 AM,0.9
South End,Tacoma,WA,Seattle,Pierce,07/01/2011 12:00:00 AM,0.817647058823529
South End,Tacoma,WA,Seattle,Pierce,08/01/2011 12:00:00 AM,0.823252688172043
South End,Tacoma,WA,Seattle,Pierce,09/01/2011 12:00:00 AM,0.852272727272727
South End,Tacoma,WA,Seattle,Pierce,10/01/2011 12:00:00 AM,0.852272727272727
South End,Tacoma,WA,Seattle,Pierce,11/01/2011 12:00:00 AM,0.863439306358381
South End,Tacoma,WA,Seattle,Pierce,12/01/2011 12:00:00 AM,0.886290322580645
South End,Tacoma,WA,Seattle,Pierce,01/01/2012 12:00:00 AM,0.832262210796915
South End,Tacoma,WA,Seattle,Pierce,02/01/2012 12:00:00 AM,0.826771653543307
South End,Tacoma,WA,Seattle,Pierce,03/01/2012 12:00:00 AM,0.836120401337792
South End,Tacoma,WA,Seattle,Pierce,04/01/2012 12:00:00 AM,0.905797101449275
South End,Tacoma,WA,Seattle,Pierce,05/01/2012 12:00:00 AM,0.885542168674698
South End,Tacoma,WA,Seattle,Pierce,06/01/2012 12:00:00 AM,0.878594249201277
South End,Tacoma,WA,Seattle,Pierce,07/01/2012 12:00:00 AM,0.892857142857142
South End,Tacoma,WA,Seattle,Pierce,08/01/2012 12:00:00 AM,0.935294117647058
South End,Tacoma,WA,Seattle,Pierce,09/01/2012 12:00:00 AM,0.936170212765957
South End,Tacoma,WA,Seattle,Pierce,10/01/2012 12:00:00 AM,0.928571428571428
South End,Tacoma,WA,Seattle,Pierce,11/01/2012 12:00:00 AM,0.914634146341463
South End,Tacoma,WA,Seattle,Pierce,12/01/2012 12:00:00 AM,0.912301353737492
South End,Tacoma,WA,Seattle,Pierce,01/01/2013 12:00:00 AM,0.908430232558139
South End,Tacoma,WA,Seattle,Pierce,02/01/2013 12:00:00 AM,0.91454802259887
South End,Tacoma,WA,Seattle,Pierce,03/01/2013 12:00:00 AM,0.889328063241106
South End,Tacoma,WA,Seattle,Pierce,04/01/2013 12:00:00 AM,0.957532051282051
South End,Tacoma,WA,Seattle,Pierce,05/01/2013 12:00:00 AM,0.9375
South End,Tacoma,WA,Seattle,Pierce,06/01/2013 12:00:00 AM,0.9375
South End,Tacoma,WA,Seattle,Pierce,07/01/2013 12:00:00 AM,0.9379042690815
South End,Tacoma,WA,Seattle,Pierce,08/01/2013 12:00:00 AM,0.885416666666666
South End,Tacoma,WA,Seattle,Pierce,09/01/2013 12:00:00 AM,0.909387222946544
South End,Tacoma,WA,Seattle,Pierce,10/01/2013 12:00:00 AM,0.924556213017751
South End,Tacoma,WA,Seattle,Pierce,11/01/2013 12:00:00 AM,0.908847184986595
South End,Tacoma,WA,Seattle,Pierce,12/01/2013 12:00:00 AM,0.910714285714285
South End,Tacoma,WA,Seattle,Pierce,01/01/2014 12:00:00 AM,0.885231316725978
South End,Tacoma,WA,Seattle,Pierce,02/01/2014 12:00:00 AM,0.875
South End,Tacoma,WA,Seattle,Pierce,03/01/2014 12:00:00 AM,0.900452488687782
South End,Tacoma,WA,Seattle,Pierce,04/01/2014 12:00:00 AM,0.9375
South End,Tacoma,WA,Seattle,Pierce,05/01/2014 12:00:00 AM,0.929054054054054
South End,Tacoma,WA,Seattle,Pierce,06/01/2014 12:00:00 AM,0.889662027833001
South End,Tacoma,WA,Seattle,Pierce,07/01/2014 12:00:00 AM,0.889662027833001
South End,Tacoma,WA,Seattle,Pierce,08/01/2014 12:00:00 AM,0.939655172413793
South End,Tacoma,WA,Seattle,Pierce,09/01/2014 12:00:00 AM,1.00393700787402
South End,Tacoma,WA,Seattle,Pierce,10/01/2014 12:00:00 AM,0.97560975609756
South End,Tacoma,WA,Seattle,Pierce,11/01/2014 12:00:00 AM,0.948616600790513
Capitol Hill,Seattle,WA,Seattle,King,02/01/2010 12:00:00 AM,
Capitol Hill,Seattle,WA,Seattle,King,03/01/2010 12:00:00 AM,
Capitol Hill,Seattle,WA,Seattle,King,04/01/2010 12:00:00 AM,
Capitol Hill,Seattle,WA,Seattle,King,05/01/2010 12:00:00 AM,
Capitol Hill,Seattle,WA,Seattle,King,06/01/2010 12:00:00 AM,1.82845744680851
Capitol Hill,Seattle,WA,Seattle,King,07/01/2010 12:00:00 AM,1.78571428571428
Capitol Hill,Seattle,WA,Seattle,King,08/01/2010 12:00:00 AM,1.94915254237288
Capitol Hill,Seattle,WA,Seattle,King,09/01/2010 12:00:00 AM,1.80225988700565
Capitol Hill,Seattle,WA,Seattle,King,10/01/2010 12:00:00 AM,1.82845744680851
Capitol Hill,Seattle,WA,Seattle,King,11/01/2010 12:00:00 AM,
Capitol Hill,Seattle,WA,Seattle,King,12/01/2010 12:00:00 AM,1.96153846153846
Capitol Hill,Seattle,WA,Seattle,King,01/01/2011 12:00:00 AM,1.80260047281324
Capitol Hill,Seattle,WA,Seattle,King,02/01/2011 12:00:00 AM,1.77919708029197
Capitol Hill,Seattle,WA,Seattle,King,03/01/2011 12:00:00 AM,1.80260047281324
Capitol Hill,Seattle,WA,Seattle,King,04/01/2011 12:00:00 AM,1.91666666666667
Capitol Hill,Seattle,WA,Seattle,King,05/01/2011 12:00:00 AM,1.97916666666667
Capitol Hill,Seattle,WA,Seattle,King,06/01/2011 12:00:00 AM,1.64041994750656
Capitol Hill,Seattle,WA,Seattle,King,07/01/2011 12:00:00 AM,1.6875
Capitol Hill,Seattle,WA,Seattle,King,08/01/2011 12:00:00 AM,1.71974522292994
Capitol Hill,Seattle,WA,Seattle,King,09/01/2011 12:00:00 AM,1.71974522292994
Capitol Hill,Seattle,WA,Seattle,King,10/01/2011 12:00:00 AM,1.6796875
Capitol Hill,Seattle,WA,Seattle,King,11/01/2011 12:00:00 AM,1.79166666666667
Capitol Hill,Seattle,WA,Seattle,King,12/01/2011 12:00:00 AM,1.74273858921162
Capitol Hill,Seattle,WA,Seattle,King,01/01/2012 12:00:00 AM,1.84824902723735
Capitol Hill,Seattle,WA,Seattle,King,02/01/2012 12:00:00 AM,1.97080291970803
Capitol Hill,Seattle,WA,Seattle,King,03/01/2012 12:00:00 AM,2.02235772357723
Capitol Hill,Seattle,WA,Seattle,King,04/01/2012 12:00:00 AM,2.04166666666667
Capitol Hill,Seattle,WA,Seattle,King,05/01/2012 12:00:00 AM,2.1
Capitol Hill,Seattle,WA,Seattle,King,06/01/2012 12:00:00 AM,2.23607038123167
Capitol Hill,Seattle,WA,Seattle,King,07/01/2012 12:00:00 AM,2.14747039827772
Capitol Hill,Seattle,WA,Seattle,King,08/01/2012 12:00:00 AM,2.24458204334365
Capitol Hill,Seattle,WA,Seattle,King,09/01/2012 12:00:00 AM,2.14747039827772
Capitol Hill,Seattle,WA,Seattle,King,10/01/2012 12:00:00 AM,2.33064516129032
Capitol Hill,Seattle,WA,Seattle,King,11/01/2012 12:00:00 AM,2.35177865612648
Capitol Hill,Seattle,WA,Seattle,King,12/01/2012 12:00:00 AM,2.34088457389428
Capitol Hill,Seattle,WA,Seattle,King,01/01/2013 12:00:00 AM,2.41126070991432
Capitol Hill,Seattle,WA,Seattle,King,02/01/2013 12:00:00 AM,2.32777777777778
Capitol Hill,Seattle,WA,Seattle,King,03/01/2013 12:00:00 AM,2.26486486486486
Capitol Hill,Seattle,WA,Seattle,King,04/01/2013 12:00:00 AM,2.20762155059133
Capitol Hill,Seattle,WA,Seattle,King,05/01/2013 12:00:00 AM,2.10714285714286
Capitol Hill,Seattle,WA,Seattle,King,06/01/2013 12:00:00 AM,2.25
Capitol Hill,Seattle,WA,Seattle,King,07/01/2013 12:00:00 AM,2.28155339805825
Capitol Hill,Seattle,WA,Seattle,King,08/01/2013 12:00:00 AM,2.29861111111111
Capitol Hill,Seattle,WA,Seattle,King,09/01/2013 12:00:00 AM,2.38437001594896
Capitol Hill,Seattle,WA,Seattle,King,10/01/2013 12:00:00 AM,2.30326295585413
Capitol Hill,Seattle,WA,Seattle,King,11/01/2013 12:00:00 AM,2.30326295585413
Capitol Hill,Seattle,WA,Seattle,King,12/01/2013 12:00:00 AM,2.30061349693251
Capitol Hill,Seattle,WA,Seattle,King,01/01/2014 12:00:00 AM,2.31506849315068
Capitol Hill,Seattle,WA,Seattle,King,02/01/2014 12:00:00 AM,2.35129068462402
Capitol Hill,Seattle,WA,Seattle,King,03/01/2014 12:00:00 AM,2.37301587301587
Capitol Hill,Seattle,WA,Seattle,King,04/01/2014 12:00:00 AM,2.58136482939633
Capitol Hill,Seattle,WA,Seattle,King,05/01/2014 12:00:00 AM,2.69230769230769
Capitol Hill,Seattle,WA,Seattle,King,06/01/2014 12:00:00 AM,2.76724137931034
Capitol Hill,Seattle,WA,Seattle,King,07/01/2014 12:00:00 AM,2.75695931477516
Capitol Hill,Seattle,WA,Seattle,King,08/01/2014 12:00:00 AM,2.78293135435993
Capitol Hill,Seattle,WA,Seattle,King,09/01/2014 12:00:00 AM,2.69347496206373
Capitol Hill,Seattle,WA,Seattle,King,10/01/2014 12:00:00 AM,2.60769230769231
Capitol Hill,Seattle,WA,Seattle,King,11/01/2014 12:00:00 AM,2.58346581875994
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,02/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,03/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,04/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,05/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,06/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,07/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,08/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,09/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,11/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,12/01/2010 12:00:00 AM,
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,01/01/2011 12:00:00 AM,0.924499229583975
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,02/01/2011 12:00:00 AM,0.933786078098471
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,03/01/2011 12:00:00 AM,0.875
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,04/01/2011 12:00:00 AM,0.802845528455284
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,05/01/2011 12:00:00 AM,0.847457627118644
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,06/01/2011 12:00:00 AM,0.881742738589211
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,07/01/2011 12:00:00 AM,0.912921348314606
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,08/01/2011 12:00:00 AM,0.884955752212389
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,09/01/2011 12:00:00 AM,0.892857142857142
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10/01/2011 12:00:00 AM,0.88235294117647
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,11/01/2011 12:00:00 AM,0.94059405940594
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,12/01/2011 12:00:00 AM,0.918624161073825
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,01/01/2012 12:00:00 AM,0.954545454545454
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,02/01/2012 12:00:00 AM,0.923076923076923
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,03/01/2012 12:00:00 AM,0.875190258751902
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,04/01/2012 12:00:00 AM,0.969967532467532
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,05/01/2012 12:00:00 AM,0.995007132667617
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,06/01/2012 12:00:00 AM,0.961538461538461
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,07/01/2012 12:00:00 AM,0.933786078098471
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,08/01/2012 12:00:00 AM,0.9
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,09/01/2012 12:00:00 AM,0.87375
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10/01/2012 12:00:00 AM,0.919913419913419
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,11/01/2012 12:00:00 AM,0.926666666666666
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,12/01/2012 12:00:00 AM,1.01799242424242
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,01/01/2013 12:00:00 AM,0.995
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,02/01/2013 12:00:00 AM,1.01799242424242
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,03/01/2013 12:00:00 AM,1.02222222222222
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,04/01/2013 12:00:00 AM,1.07142857142857
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,05/01/2013 12:00:00 AM,1.06534090909091
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,06/01/2013 12:00:00 AM,1.00571428571428
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,07/01/2013 12:00:00 AM,0.99009900990099
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,08/01/2013 12:00:00 AM,0.996677740863787
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,09/01/2013 12:00:00 AM,0.907590759075907
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10/01/2013 12:00:00 AM,0.9080547112462
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,11/01/2013 12:00:00 AM,0.86875
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,12/01/2013 12:00:00 AM,0.916666666666666
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,01/01/2014 12:00:00 AM,0.911764705882352
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,02/01/2014 12:00:00 AM,0.892857142857142
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,03/01/2014 12:00:00 AM,0.853413654618473
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,04/01/2014 12:00:00 AM,0.88209219858156
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,05/01/2014 12:00:00 AM,0.962278675904541
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,06/01/2014 12:00:00 AM,0.927197802197802
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,07/01/2014 12:00:00 AM,0.9009009009009
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,08/01/2014 12:00:00 AM,0.9009009009009
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,09/01/2014 12:00:00 AM,1.00121359223301
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10/01/2014 12:00:00 AM,0.956521739130434
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,11/01/2014 12:00:00 AM,0.903465346534653
West End,Tacoma,WA,Seattle,Pierce,02/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,03/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,04/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,05/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,06/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,07/01/2010 12:00:00 AM,
West End,Tacoma,WA,Seattle,Pierce,08/01/2010 12:00:00 AM,0.948040109389243
West End,Tacoma,WA,Seattle,Pierce,09/01/2010 12:00:00 AM,0.948040109389243
West End,Tacoma,WA,Seattle,Pierce,10/01/2010 12:00:00 AM,0.947115384615384
West End,Tacoma,WA,Seattle,Pierce,11/01/2010 12:00:00 AM,0.948040109389243
West End,Tacoma,WA,Seattle,Pierce,12/01/2010 12:00:00 AM,0.969565217391304
West End,Tacoma,WA,Seattle,Pierce,01/01/2011 12:00:00 AM,0.957722174288179
West End,Tacoma,WA,Seattle,Pierce,02/01/2011 12:00:00 AM,0.957722174288179
West End,Tacoma,WA,Seattle,Pierce,03/01/2011 12:00:00 AM,0.952986022871664
West End,Tacoma,WA,Seattle,Pierce,04/01/2011 12:00:00 AM,0.90625
West End,Tacoma,WA,Seattle,Pierce,05/01/2011 12:00:00 AM,0.918439716312056
West End,Tacoma,WA,Seattle,Pierce,06/01/2011 12:00:00 AM,0.934375
West End,Tacoma,WA,Seattle,Pierce,07/01/2011 12:00:00 AM,0.927966101694915
West End,Tacoma,WA,Seattle,Pierce,08/01/2011 12:00:00 AM,0.875156838143036
West End,Tacoma,WA,Seattle,Pierce,09/01/2011 12:00:00 AM,0.811688311688311
West End,Tacoma,WA,Seattle,Pierce,10/01/2011 12:00:00 AM,0.887038377986965
West End,Tacoma,WA,Seattle,Pierce,11/01/2011 12:00:00 AM,0.810688405797101
