Region.Name,City,State,Metro,County.Name,Value,date
Capitol Hill,Seattle,WA,Seattle,King,2.58346581875994,2014-11-01
University District,Seattle,WA,Seattle,King,2.53174603174603,2014-11-01
Magnolia,Seattle,WA,Seattle,King,1.66666666666667,2014-11-01
Greenwood,Seattle,WA,Seattle,King,1.81088082901554,2014-11-01
Wallingford,Seattle,WA,Seattle,King,2.11678832116788,2014-11-01
Beacon Hill,Seattle,WA,Seattle,King,NA,2014-11-01
Fremont,Seattle,WA,Seattle,King,2.57207890743551,2014-11-01
Ravenna,Seattle,WA,Seattle,King,1.88461538461538,2014-11-01
North Beacon Hill,Seattle,WA,Seattle,King,1.32867132867133,2014-11-01
First Hill,Seattle,WA,Seattle,King,2.56201881950385,2014-11-01
Admiral,Seattle,WA,Seattle,King,1.54166666666667,2014-11-01
Maple Leaf,Seattle,WA,Seattle,King,1.93531283138918,2014-11-01
North Queen Anne,Seattle,WA,Seattle,King,1.68846153846154,2014-11-01
Belltown,Seattle,WA,Seattle,King,2.70348837209302,2014-11-01
Phinney Ridge,Seattle,WA,Seattle,King,NA,2014-11-01
Green Lake,Seattle,WA,Seattle,King,2.2375,2014-11-01
Haller Lake,Seattle,WA,Seattle,King,1.47407407407407,2014-11-01
Broadview,Seattle,WA,Seattle,King,1.45833333333333,2014-11-01
Bitter Lake,Seattle,WA,Seattle,King,1.59551760939167,2014-11-01
Olympic Hills,Seattle,WA,Seattle,King,1.23853211009174,2014-11-01
Wedgwood,Seattle,WA,Seattle,King,1.89655172413793,2014-11-01
Loyal Heights,Seattle,WA,Seattle,King,NA,2014-11-01
Minor,Seattle,WA,Seattle,King,1.98369565217391,2014-11-01
East Ballard,Seattle,WA,Seattle,King,2.3632538569425,2014-11-01
Ballard,Seattle,WA,Seattle,King,2.34347826086956,2014-11-01
Columbia City,Seattle,WA,Seattle,King,1.88461538461538,2014-11-01
Alki,Seattle,WA,Seattle,King,1.68674698795181,2014-11-01
Brighton,Seattle,WA,Seattle,King,NA,2014-11-01
Downtown,Seattle,WA,Seattle,King,2.73689227836034,2014-11-01
East Queen Anne,Seattle,WA,Seattle,King,2.50960307298335,2014-11-01
North College Park,Seattle,WA,Seattle,King,1.4625,2014-11-01
High Point,Seattle,WA,Seattle,King,NA,2014-11-01
Rainier Beach,Seattle,WA,Seattle,King,NA,2014-11-01
Highland Park,Seattle,WA,Seattle,King,NA,2014-11-01
Sunset Hill,Seattle,WA,Seattle,King,1.84782608695652,2014-11-01
Matthews Beach,Seattle,WA,Seattle,King,1.55327868852459,2014-11-01
Gatewood,Seattle,WA,Seattle,King,1.70542635658915,2014-11-01
Dunlap,Seattle,WA,Seattle,King,NA,2014-11-01
Junction,Seattle,WA,Seattle,King,2.59067357512953,2014-11-01
West Queen Anne,Seattle,WA,Seattle,King,2.21238938053097,2014-11-01
South Delridge,Seattle,WA,Seattle,King,1.61111111111111,2014-11-01
Eastlake,Seattle,WA,Seattle,King,1.95833333333333,2014-11-01
Arbor Heights,Seattle,WA,Seattle,King,1.34615384615385,2014-11-01
Cedar Park,Seattle,WA,Seattle,King,1.6839762611276,2014-11-01
Fauntleroy,Seattle,WA,Seattle,King,NA,2014-11-01
Pinehurst,Seattle,WA,Seattle,King,1.34426229508197,2014-11-01
Lower Queen Anne,Seattle,WA,Seattle,King,2.3,2014-11-01
Victory Heights,Seattle,WA,Seattle,King,1.35294117647059,2014-11-01
Leschi,Seattle,WA,Seattle,King,1.625,2014-11-01
Laurelhurst,Seattle,WA,Seattle,King,1.42424242424242,2014-11-01
Fairmount Park,Seattle,WA,Seattle,King,1.9438202247191,2014-11-01
Whittier Heights,Seattle,WA,Seattle,King,NA,2014-11-01
Bryant,Seattle,WA,Seattle,King,NA,2014-11-01
Roosevelt,Seattle,WA,Seattle,King,1.59333333333333,2014-11-01
Westlake,Seattle,WA,Seattle,King,2.27027027027027,2014-11-01
Seaview,Seattle,WA,Seattle,King,NA,2014-11-01
Interbay,Seattle,WA,Seattle,King,NA,2014-11-01
Uptown,Seattle,WA,Seattle,King,2.45959595959596,2014-11-01
Madison Park,Seattle,WA,Seattle,King,2,2014-11-01
View Ridge,Seattle,WA,Seattle,King,NA,2014-11-01
Central,Seattle,WA,Seattle,King,2.09090909090909,2014-11-01
Madison Valley,Seattle,WA,Seattle,King,2.1,2014-11-01
Madrona,Seattle,WA,Seattle,King,NA,2014-11-01
North Delridge,Seattle,WA,Seattle,King,1.79411764705882,2014-11-01
Meadowbrook,Seattle,WA,Seattle,King,NA,2014-11-01
Riverview,Seattle,WA,Seattle,King,NA,2014-11-01
Montlake,Seattle,WA,Seattle,King,NA,2014-11-01
Judkins Park,Seattle,WA,Seattle,King,NA,2014-11-01
International District,Seattle,WA,Seattle,King,NA,2014-11-01
Crown Hill,Seattle,WA,Seattle,King,NA,2014-11-01
Denny Triangle,Seattle,WA,Seattle,King,2.74928774928775,2014-11-01
South Lake Union,Seattle,WA,Seattle,King,2.64360902255639,2014-11-01
Cascade,Seattle,WA,Seattle,King,2.58452380952381,2014-11-01
Pioneer Square,Seattle,WA,Seattle,King,3.0968992248062,2014-11-01
Admiral,Seattle,WA,Seattle,King,1.62976628475516,2015-11-01
Admiral,Seattle,WA,Seattle,King,1.81638206394873,2019-11-01
Admiral,Seattle,WA,Seattle,King,2.04965178794069,2024-11-01
Alki,Seattle,WA,Seattle,King,1.77742215352921,2015-11-01
Alki,Seattle,WA,Seattle,King,2.17177674167257,2019-11-01
