Date,Region Name,State,Metro,County,City,Size Rank,Zhvi,Mo M,Qo Q,Yo Y,5 Year,10 Year,Peak Month,Peak Quarter,Peak Z H V I,Pct Fall From Peak,Last Time At Curr Z H V I
11/30/2014 12:00:00 AM,South End,WA,Seattle,Pierce,Tacoma,191,159900,0.012025316455696,0.026974951830443,0.064580559254328,-0.009598472590903,0.000942958351899,05/01/2007 12:00:00 AM,2007-Q2,213300,-0.250351617440225,12/01/2004 12:00:00 AM
11/30/2014 12:00:00 AM,Capitol Hill,WA,Seattle,King,Seattle,300,418800,0.006972830007213,0.019226089072767,0.071373752877974,0.034600316938356,0.030872179569528,08/01/2007 12:00:00 AM,2007-Q3,425000,-0.014588235294118,06/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Eastside-ENACT,WA,Seattle,Pierce,Tacoma,309,155400,0.007128969539857,0.017681728880157,0.076923076923077,-0.006313636208034,0.00247876353956,04/01/2007 12:00:00 AM,2007-Q2,204700,-0.240840254030288,02/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,West End,WA,Seattle,Pierce,Tacoma,313,249400,0.006050826946349,0.011354420113544,0.043951444118878,0.000884459049793,0.01350075920697,05/01/2007 12:00:00 AM,2007-Q2,289000,-0.137024221453287,07/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,University District,WA,Seattle,King,Seattle,356,522100,0.012017832913355,0.025535258298959,0.08184832159138,0.045579480229135,0.032769055574602,11/01/2014 12:00:00 AM,2014-Q4,522100,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,South Tacoma,WA,Seattle,Pierce,Tacoma,368,150400,0.010073875083949,0.023825731790334,0.0835734870317,-0.010186473904454,0.001137402156735,03/01/2007 12:00:00 AM,2007-Q1,200800,-0.250996015936255,12/01/2004 12:00:00 AM
11/30/2014 12:00:00 AM,North End,WA,Seattle,Pierce,Tacoma,379,297600,0.006765899864682,0.009155645981689,0.031185031185031,0.010397246145981,0.017989639379194,10/01/2006 12:00:00 AM,2006-Q4,328800,-0.094890510948905,09/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Central,WA,Seattle,Pierce,Tacoma,456,178600,0.006764374295378,0.019406392694064,0.085714285714286,-0.009149872490996,0.009865325401574,06/01/2007 12:00:00 AM,2007-Q2,228000,-0.216666666666667,07/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Magnolia,WA,Seattle,King,Seattle,533,666900,0.005882352941176,0.015068493150685,0.075124939545381,0.052604861927655,0.035764486834552,11/01/2014 12:00:00 AM,2014-Q4,666900,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Alderwood Manor,WA,Seattle,Snohomish,Lynnwood,541,351100,0.003429551300372,0.013275613275613,0.046185935637664,0.025941468268465,0.024656359866222,08/01/2007 12:00:00 AM,2007-Q3,384300,-0.086390840489201,03/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Northeast Tacoma,WA,Seattle,Pierce,Tacoma,566,287800,0.006293706293706,0.010533707865168,0.024563901744393,0.001045662794365,0.009552030689123,03/01/2007 12:00:00 AM,2007-Q1,347600,-0.172036823935558,06/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Martha Lake,WA,Seattle,Snohomish,Lynnwood,599,357800,0.003928170594837,0.011020062164453,0.049574655324142,0.023093889243537,0.021761305777792,06/01/2007 12:00:00 AM,2007-Q2,400000,-0.1055,02/01/2006 12:00:00 AM
