City,Neighborhood,Listing Type,Zip,ListingFeatureType,Price,Address,HDP Type,Longitude,County,Device Type,State,BrokerId,PropertyType,Latitude,TrackingContactModule,House ID  Zpid
Seattle,Windermere,For Sale by Agent,98105,organic,1200000,6659 Ne Windermere Road,ForSale,-122253322,King,Desktop,WA,For Sale by Agent,Vacant Land,47672363,bal4HDPHotelCaliforniaMini111111222201111,2103458804,
Seattle,Rainier Beach,For Sale Broker,98118,featured,49999,39 S Pilgrim,ForSale,-122255966,King,Desktop,WA,9318,Vacant Land,47515930,featuredHDPHotelCaliforniaMini111122201,2103474743,
Seattle,University District,For Sale Broker,98105,organic,1524000,5505 University Way NE,ForSale,-122313369,King,Desktop,WA,9318,Vacant Land,47668754,bal3HDPHotelCaliforniaMini1111112200211,2103546920,
Seattle,Beacon Hill,For Sale Broker,98118,organic,1000000,5900 33 Ave S,ForSale,-122290338,King,Desktop,WA,13599,Vacant Land,47548367,bal4HDPHotelCaliforniaMini111111122101111,2103550810,
Seattle,West Queen Anne,For Sale by Owner,98119,organic,1100000,1421 9th Ave W,ForSale,-122369466,King,Desktop,WA,For Sale by Owner,Vacant Land,47631798,fsboHDPHotelCaliforniaMini111100101,48986682,
Seattle,Rainier Beach,For Sale Broker,98118,organic,288800,9328 Waters Ave S,ForSale,-122260264,King,Desktop,WA,13404,Vacant Land,47518285,bal4HDPHotelCaliforniaMini111111212201111,2103611816,
Seattle,North Delridge,For Sale Broker,98106,organic,150000,5000 Delridge Way SW,ForSale,-122362516,King,Desktop,WA,13599,Vacant Land,47557326,bal4HDPHotelCaliforniaMini111111122101111,48755784,
Seattle,Columbia City,For Sale Broker,98144,featured,30000,3507 27TH Ave S,ForSale,-122298071,King,Desktop,WA,10787,Vacant Land,47572773,featuredHDPHotelCaliforniaMini111111201,96704972,
Seattle,Fauntleroy,For Sale Broker,98136,organic,160000,4334 SW Roxbury St,ForSale,-122387881,King,Desktop,WA,13461,Vacant Land,47517499,bal3HDPHotelCaliforniaMini1111222200211,2103664217,
Seattle,Arbor Heights,For Sale Broker,98146,organic,325000,10950 39th Ave SW,ForSale,-122382003,King,Desktop,WA,21,Vacant Land,47504901,bal4HDPHotelCaliforniaMini111111121201111,2103737165,
Seattle,South Park,For Sale Broker,98108,organic,225000,1020 S Trenton St,ForSale,-122319850,King,Desktop,WA,10787,Vacant Land,47524756,bal4HDPHotelCaliforniaMini111111112201111,2103816733,
Seattle,Riverview,For Sale Broker,98106,organic,122895,5922 Croft Pl SW,ForSale,-122361338,King,Desktop,WA,13599,Vacant Land,47549705,bal4HDPHotelCaliforniaMini111111221201111,2103822351,
Seattle,North Delridge,For Sale Broker,98106,organic,60000,3813 21st Ave SW  3817,ForSale,-122360132,King,Desktop,WA,7641,Vacant Land,47569902,bal3HDPHotelCaliforniaMini1111112100211,2103846464,
Seattle,North Delridge,For Sale Broker,98106,organic,60000,38133817 21st Ave SW,ForSale,-122360117,King,Desktop,WA,10787,Vacant Land,47570064,bal4HDPHotelCaliforniaMini111111212101111,2107022067,
Seattle,North Delridge,For Sale Broker,98106,organic,60000,3813 3817 21st Ave SW,ForSale,-122360100,King,Desktop,WA,13461,Vacant Land,47569600,bal3HDPHotelCaliforniaMini1111111100211,2103984644,
Seattle,Beacon Hill,For Sale Broker,98118,organic,100000,3558 S Morgan St,ForSale,-122287087,King,Desktop,WA,13599,Vacant Land,47544354,bal4HDPHotelCaliforniaMini111111221101111,2104019470,
Seattle,Beacon Hill,For Sale Broker,98118,organic,100000,3560 S Morgan St,ForSale,-122287058,King,Desktop,WA,13599,Vacant Land,47544354,bal4HDPHotelCaliforniaMini111111122101111,2104019471,
Seattle,Columbia City,For Sale Broker,98118,organic,1500000,5153 42nd Ave S,ForSale,-122281175,King,Desktop,WA,13461,Vacant Land,47555703,bal3HDPHotelCaliforniaMini1111222200211,48972159,
Seattle,Columbia City,For Sale Broker,98118,organic,4200000,5250 Rainier Ave S,ForSale,-122281989,King,Desktop,WA,13461,Vacant Land,47554887,bal3HDPHotelCaliforniaMini1111112200211,2146329524,
